,married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
0,true,white,reject,1,128,74,1,1,false,4583,160.0,52.0,2,2,false,2,male
1,false,white,approve,1,128,84,1,0,false,2666,143.0,37.0,2,2,false,2,male
2,true,white,approve,1,66,36,1,0,true,3000,110.0,19.0,2,6,true,2,male
3,true,white,approve,1,120,59,1,0,false,2583,134.0,31.0,2,1,false,1,male
4,false,white,approve,1,111,63,1,0,false,2208,138.0,169.0,2,6,false,2,male
5,false,white,approve,1,141,72,1,0,false,6000,157.0,38.0,2,1,false,1,male
6,false,white,approve,1,276,90,1,0,false,7500,346.0,142.0,2,1,false,2,male
7,true,white,approve,1,100,72,1,1,false,3234,99.7,24.5,2,1,false,2,male
8,true,white,approve,1,267,144,1,2,true,5417,422.0,111.0,1,1,false,2,male
9,true,white,approve,1,175,97,1,0,false,6292,346.7,186.6,1,2,false,2,male
10,true,white,approve,1,95,46,1,0,false,2333,135.0,52.33,2,6,false,2,male
11,true,white,reject,1,158,666,1,4,false,3036,210.0,188.0,2,6,true,1,male
12,true,white,approve,1,110,60,1,0,false,5720,143.0,153.0,1,3,false,2,male
13,true,white,approve,1,40,48,1,0,false,3103,197.0,34.0,1,1,false,2,male
14,true,black,approve,1,70,33,1,1,true,2800,78.0,10.0,2,1,false,1,male
15,true,white,approve,1,168,66,1,2,false,4006,210.0,66.0,2,1,false,2,male
16,true,white,approve,2,114,98,1,1,false,5438,170.0,36.0,1,1,false,1,male
17,true,white,approve,1,349,285,1,1,false,12841,387.0,57.0,1,2,false,2,male
18,true,white,approve,1,185,99,1,0,false,5600,196.0,24.0,2,1,false,2,male
19,true,white,approve,1,126,55,1,1,false,3076,140.0,19.0,2,1,false,2,male
20,true,white,approve,1,100,666,1,0,true,7589,208.0,347.0,3,4,false,1,female
21,true,white,approve,1,70,47,1,2,false,3200,70.0,11.5,1,1,false,2,male
22,true,white,approve,1,125,59,1,0,true,3000,180.0,8.0,1,1,false,2,male
23,false,white,approve,1,130,135,1,0,false,11283,230.0,124.0,2,1,false,2,male
24,true,white,approve,1,109,52,1,2,false,2500,115.0,13.6,2,1,false,2,male
25,true,black,approve,1,200,117,1,2,false,3073,250.0,83.5,1,5,false,2,male
26,false,white,reject,1,114,56,1,0,false,1853,120.0,14.0,2,1,false,2,male
27,true,white,approve,1,17,31,1,2,false,1299,57.0,50.0,2,1,false,2,male
28,true,hispan,approve,1,208,82,1,2,false,5000,260.0,14.0,1,1,false,2,male
29,false,white,approve,1,125,64,1,0,false,4950,225.0,219.0,1,1,false,2,male
30,true,white,approve,1,187,177,1,0,true,13000,234.0,48.0,1,1,false,2,male
31,false,white,approve,1,100,44,1,1,false,3596,100.0,20.0,1,1,false,2,male
32,true,white,approve,1,100,59,1,2,false,2340,125.0,3.0,2,1,false,2,male
33,false,black,reject,1,76,42,1,0,false,3510,80.0,8.0,2,6,false,2,female
34,false,black,approve,1,121,666,1,0,false,4706,161.0,46.0,2,1,false,1,female
35,true,white,reject,1,133,666,1,0,false,4887,118.0,63.0,2,1,false,2,male
36,false,white,approve,1,140,63,1,0,false,5233,200.0,123.0,2,1,false,2,female
37,false,white,approve,1,70,31,1,0,false,2567,77.0,11.0,2,1,false,1,male
38,true,white,approve,1,115,73,1,0,false,2600,128.0,23.0,2,1,false,2,male
39,true,white,approve,1,252,106,1,1,true,5167,315.0,29.0,1,2,false,2,male
40,true,white,reject,1,104,92,1,0,false,7660,130.0,1.0,2,6,false,1,male
41,true,white,approve,1,100,53,1,0,false,3328,270.0,17.0,1,1,false,2,male
42,true,white,approve,1,100,123,1,0,false,6333,125.0,26.0,2,6,false,2,female
43,true,white,approve,1,315,139,1,1,false,5955,355.0,42.9,1,1,false,2,male
44,true,black,reject,1,116,62,1,0,false,2600,145.0,1.0,2,4,false,2,male
