Date,Open,High,Low,Close,Volume,MA5,MA10,MA15,STD5,y_high,y_low,y_close,y_range,y_volume,y_close_open,UP,is_Monday
02/01/2020,315.539571,316.8561944,314.5545366,316.8366699,59151200,314.0317749,312.7973816,310.8805888,0.856061205,314.1644045,312.2333551,313.901062,1.9310494,57077300,-1.638509,0,0
03/01/2020,313.2184098,315.6370955,313.1598959,314.4375,77709700,314.7417786,313.4667542,311.717627,1.389520106,316.8561944,314.5545366,316.8366699,2.3016578,59151200,3.6182601,1,0
06/01/2020,312.5649842,315.7248864,312.438194,315.6371155,55653900,314.6384033,313.8942719,312.3371379,1.388976239,315.6370955,313.1598959,314.4375,2.4771996,77709700,1.8725158,0,1
07/01/2020,315.0323802,315.5395408,314.2716692,314.7495728,40496400,314.7905518,314.3146149,312.8612874,1.461341037,315.7248864,312.438194,315.6371155,3.2866924,55653900,0.6047353,1,0
08/01/2020,314.9543925,317.7241619,314.6910797,316.427063,68296000,315.112384,314.509668,313.313975,1.151402019,315.5395408,314.2716692,314.7495728,1.2678716,40496400,-0.2048197,0,0
09/01/2020,318.094758,318.6506703,317.4705696,318.5726318,48473300,315.6175842,314.8246796,313.7374491,1.035356215,317.7241619,314.6910797,316.427063,3.0330822,68296000,-1.667695,0,0
10/01/2020,319.1968305,319.3626101,317.1585152,317.6558838,53029300,315.9647766,315.3532776,314.2994283,1.653123834,318.6506703,317.4705696,318.5726318,1.1801007,48473300,-0.6241987,1,0
13/01/2020,318.319093,319.8502476,317.8607139,319.8405151,47086800,316.6084534,315.6234283,314.798999,1.531906039,319.3626101,317.1585152,317.6558838,2.2040949,53029300,-0.6632092,0,1
14/01/2020,319.3723695,320.4939265,318.7579433,319.3528748,62832800,317.4491333,316.1198425,315.3594543,1.959333859,319.8502476,317.8607139,319.8405151,1.9895337,47086800,0.4681456,1,0
15/01/2020,319.2553599,320.8840478,319.167589,320.074585,72056600,318.3697937,316.7410889,315.7963765,1.365144974,320.4939265,318.7579433,319.3528748,1.7359832,62832800,0.0975149,0,0
16/01/2020,321.5472274,322.7370605,321.3034094,322.7370605,54050300,319.0992981,317.3584412,316.2495524,0.990670291,320.8840478,319.167589,320.074585,1.7164588,72056600,-1.4726424,0,0
17/01/2020,323.4978201,323.9659318,322.6688327,323.7416382,95846000,319.9321838,317.9484802,316.8795797,1.831198754,322.7370605,321.3034094,322.7370605,1.4336511,54050300,-0.7607596,0,0
21/01/2020,322.7175936,323.9659409,322.6395849,323.1076965,77742400,321.1493347,318.878894,317.4653971,1.958077801,323.9659318,322.6688327,323.7416382,1.2970991,95846000,1.0240446,1,0
22/01/2020,324.0244065,324.7168711,322.9808879,323.1466675,48914900,321.802771,319.6259521,318.014152,1.957265449,323.9659409,322.6395849,323.1076965,1.326356,77742400,-0.91671,0,0
23/01/2020,322.4542299,323.9561573,321.2643967,323.5172729,51963000,322.5615295,320.4656616,318.6812358,1.436057596,324.7168711,322.9808879,323.1466675,1.7359832,48914900,0.6924376,0,0
24/01/2020,324.2194595,324.3072304,319.2650605,320.6401978,87578400,323.2500671,321.1746826,319.3223165,0.389608034,323.9561573,321.2643967,323.5172729,2.6917606,51963000,-0.7021866,1,0
27/01/2020,315.0422007,317.0805162,314.6813547,315.5005798,84062500,322.8306946,321.3814392,319.575885,1.252602631,324.3072304,319.2650605,320.6401978,5.0421699,87578400,5.5979971,1,1
28/01/2020,317.0219674,319.7429851,315.5980784,318.8067322,63834000,321.1824829,321.1659088,319.646757,3.376159386,317.0805162,314.6813547,315.5005798,2.3991615,84062500,-1.5213876,0,0
29/01/2020,320.2599152,320.5037333,318.3288654,318.5434265,53888900,320.32229,321.0625305,319.8580648,3.310282993,319.7429851,315.5980784,318.8067322,4.1449067,63834000,-1.453183,1,0
30/01/2020,316.3392984,319.8015328,315.5395978,319.5772095,75491800,319.4016418,320.9815857,320.1109884,2.948778391,320.5037333,318.3288654,318.5434265,2.1748679,53888900,2.2041281,0,0
31/01/2020,318.9140271,319.0798365,312.7990808,313.774353,113845600,318.6136292,320.9318481,320.3209981,1.921507259,319.8015328,315.5395978,319.5772095,4.261935,75491800,0.6631824,1,0
03/02/2020,315.3542757,318.0947883,315.2274856,316.1052246,69083000,317.2404602,320.0355774,320.0011129,2.482559612,319.0798365,312.7990808,313.774353,6.2807557,113845600,-1.5799227,0,1
04/02/2020,319.9575552,321.8495857,319.616204,320.9230652,62573200,317.3613892,319.271936,319.8977356,2.38960593,318.0947883,315.2274856,316.1052246,2.8673027,69083000,-3.8523306,0,0
05/02/2020,324.0537128,324.8534432,322.4933009,324.6291199,65951100,317.7846558,319.0534729,319.9699056,2.852262812,321.8495857,319.616204,320.9230652,2.2333817,62573200,-3.1306476,0,0
06/02/2020,325.6531593,325.9262344,324.5705917,325.7214355,50359700,319.0017944,319.2017181,320.3216553,4.225086856,324.8534432,322.4933009,324.6291199,2.3601423,65951100,-1.0240394,0,0
07/02/2020,324.5900766,325.7311283,323.4002434,323.9854126,64139400,320.2306396,319.4221344,320.698112,5.21242763,325.9262344,324.5705917,325.7214355,1.3556427,50359700,1.1313589,1,0
10/02/2020,323.0394121,326.4723594,323.0003929,326.4040833,42070000,322.2728516,319.7566559,320.7813354,3.880693966,325.7311283,323.4002434,323.9854126,2.3308849,64139400,0.9460005,0,1
11/02/2020,327.8474961,328.6862159,326.4040826,326.9697571,54864500,324.3326233,320.8470062,320.9588318,2.124458626,326.4723594,323.0003929,326.4040833,3.4719665,42070000,-1.4434128,0,0
12/02/2020,328.5008877,329.300618,328.1107848,329.0763245,43992700,325.5419617,321.6633087,321.2163025,1.231887717,328.6862159,326.4040826,326.9697571,2.2821333,54864500,-1.5311306,0,0
13/02/2020,327.5548813,329.7590058,327.2623115,328.7252197,54501900,326.4314026,322.7165985,321.611613,1.85560663,329.300618,328.1107848,329.0763245,1.1898332,43992700,1.5214432,1,0
14/02/2020,329.1641517,329.3787128,327.8865474,329.2519226,64582200,327.0321594,323.6313995,321.9588094,2.044877982,329.7590058,327.2623115,328.7252197,2.4966943,54501900,-0.438932,0,0
18/02/2020,328.1888508,329.3201701,326.9209791,328.4034119,57226200,328.0854614,325.1791565,322.5329244,1.306097305,329.3787128,327.8865474,329.2519226,1.4921654,64582200,1.0630718,1,0
19/02/2020,329.437184,330.6952636,329.134852,329.9735718,48814700,328.4853271,326.4089752,323.3931132,0.908041521,329.3201701,326.9209791,328.4034119,2.399191,57226200,-1.0337721,0,0
20/02/2020,329.3884552,330.266224,325.428852,328.6180115,74163400,329.0860901,327.3140259,324.1375692,0.594032094,330.6952636,329.134852,329.9735718,1.5604116,48814700,0.5851166,1,0
21/02/2020,327.1745774,327.5061664,324.3560263,325.2337952,113788200,328.9944275,327.712915,324.8092082,0.63017628,330.266224,325.428852,328.6180115,4.837372,74163400,1.4434341,1,0
24/02/2020,315.1494934,325.3118137,313.2964523,314.4472961,161088400,328.2961426,327.664151,325.1863139,1.817990796,327.5061664,324.3560263,325.2337952,3.1501401,113788200,10.0843018,1,1
25/02/2020,315.9296538,316.5830695,303.9825703,304.9188232,218913200,325.3352173,326.7103394,325.2311768,6.329731458,325.3118137,313.2964523,314.4472961,12.0153614,161088400,-1.4823577,1,0
26/02/2020,306.4110247,310.2438375,303.0170964,303.7973022,194773800,320.6382996,324.5618134,324.4854167,10.69313037,316.5830695,303.9825703,304.9188232,12.6004992,218913200,-1.4922015,1,0
27/02/2020,297.9066245,303.8557907,290.1532288,290.1532288,284353500,315.4030457,322.2445679,323.3436991,11.36666854,310.2438375,303.0170964,303.7973022,7.2267411,194773800,5.8906777,1,0
28/02/2020,281.5611176,290.5238722,278.4792536,288.9341736,384975800,307.7100891,318.3522583,321.0453064,13.0749249,303.8557907,290.1532288,290.1532288,13.7025619,284353500,8.5921112,1,0
02/03/2020,290.835903,301.5151451,287.1786324,301.4468689,238703600,300.4501648,314.3731537,318.5928223,10.79046881,290.5238722,278.4792536,288.9341736,12.0446186,384975800,-1.9017294,0,1
03/03/2020,301.8467655,306.0794436,290.2117746,292.8157349,300139100,297.8500793,311.5926483,317.0902527,7.697538244,301.5151451,287.1786324,301.4468689,14.3365127,238703600,-0.3998966,1,0
04/03/2020,298.550302,305.3577123,295.8292844,305.1236267,176613400,295.4294617,308.0338806,314.8510295,6.765517617,306.0794436,290.2117746,292.8157349,15.867669,300139100,-5.7345671,0,0
05/03/2020,297.4385093,300.8421996,292.5914055,294.9808044,186366800,295.6947266,305.5488861,313.3946208,7.188413717,305.3577123,295.8292844,305.1236267,9.5284279,176613400,7.6851174,1,0
