datetime,len,notes
2021-06-09 17:14:10.974003,4206,"Home, allergic"
2021-06-10 14:03:27.841383,4187,before pomodoros
2021-06-10 15:02:35.850335,4266,1 pomodoro
2021-06-14 11:22:08.996200,4472,Fridays work
2021-06-26 13:24:11.015056,4562,2
2021-06-30 15:56:37.106686,4491,b
2021-07-03 13:35:30.751729,4549,before the prune
2021-07-03 14:07:29.110286,4606,1st pomodoro
2021-07-03 21:48:58.009981,3980,delete
2021-07-05 14:34:52.122354,3740,more delete
2021-07-05 16:25:36.754571,3965,"3 pomodoros, methods"
2021-07-06 10:26:37.545132,3996,morning
2021-07-06 16:14:37.949312,4242,3 pomodoors
2021-07-07 12:29:15.138236,4614,before lunch walk
2021-07-07 19:26:57.662962,4706,after walk
2021-07-07 19:28:26.831969,4706,x
