1st,1stapperances,2nd,2nd apperances,ratio,distance
United States Politics and Government,3830,Politics and Government,1118,0.766666667,14
United States,1391,United States Economy,832,0.764705882,8
Content Type: Personal Profile,673,Content Type: Service,552,0.705882353,12
United States Politics and Government,3830,United States Economy,832,0.620689655,19
Senate,577,Theater,437,0.615384615,4
Quarantines,1073,Parenting,456,0.6,5
United States Economy,832,United States International Relations,549,0.586206897,20
Coronavirus (2019-nCoV),6554,Coronavirus Reopenings,745,0.577777778,10
Democratic Party,1227,Republican Party,1147,0.5625,9
Deaths (Fatalities),550,Disease Rates,426,0.5625,13
Black People,1167,Blacks,1167,0.555555556,7
United States Politics and Government,3830,United States International Relations,549,0.540540541,21
United States,1391,Disease Rates,426,0.538461538,8
Politics and Government,1118,Computers and the Internet,536,0.530612245,14
Books and Literature,778,Computers and the Internet,536,0.52173913,16
Politics and Government,1118,Black Lives Matter Movement,453,0.52,17
United States Politics and Government,3830,United States,1391,0.52,24
United States,1391,United States International Relations,549,0.52,24
Labor and Jobs,566,Cooking and Cookbooks,492,0.514285714,13
Cooking and Cookbooks,492,Children and Childhood,483,0.511627907,14
Quarantine (Life and Culture),1509,Quarantines,1073,0.5,19
Women and Girls,647,Children and Childhood,483,0.486486486,14
Women and Girls,647,Labor and Jobs,566,0.482758621,9
Democratic Party,1227,"Demonstrations, Protests and Riots",442,0.48,22
United States Politics and Government,3830,"Demonstrations, Protests and Riots",442,0.478873239,29
Coronavirus Reopenings,745,House of Representatives,424,0.47826087,19
United States International Relations,549,Computers and the Internet,536,0.476190476,28
Race and Ethnicity,688,Travel and Vacations,409,0.473684211,13
Labor and Jobs,566,Travel and Vacations,409,0.470588235,12
Politics and Government,1118,Polls and Public Opinion,404,0.468085106,17
Content Type: Service,552,Computers and the Internet,536,0.468085106,19
Politics and Government,1118,Books and Literature,778,0.465116279,14
Black People,1167,Black Lives Matter Movement,453,0.461538462,18
Vaccination and Immunization,667,Travel and Vacations,409,0.458333333,18
Books and Literature,778,Women and Girls,647,0.457142857,12
Women and Girls,647,Travel and Vacations,409,0.457142857,12
Travel and Vacations,409,Polls and Public Opinion,404,0.454545455,17
Race and Ethnicity,688,Computers and the Internet,536,0.454545455,18
Quarantines,1073,Travel and Vacations,409,0.451612903,14
Coronavirus Reopenings,745,Parenting,456,0.451612903,16
George Floyd Protests (2020),544,"Demonstrations, Protests and Riots",442,0.451612903,21
Quarantine (Life and Culture),1509,Books and Literature,778,0.448979592,19
Women and Girls,647,Cooking and Cookbooks,492,0.444444444,13
Women and Girls,647,Computers and the Internet,536,0.43902439,17
your-feed-science,694,House of Representatives,424,0.43902439,18
United States,1391,Deaths (Fatalities),550,0.4375,12
United States Politics and Government,3830,Black Lives Matter Movement,453,0.4375,24
Discrimination,612,Parenting,456,0.434782609,10
Race and Ethnicity,688,Vaccination and Immunization,667,0.434782609,18
Disease Rates,426,House of Representatives,424,0.432432432,16
United States Politics and Government,3830,Real Estate and Housing (Residential),1128,0.432432432,29
Politics and Government,1118,Vaccination and Immunization,667,0.431372549,19
Vaccination and Immunization,667,United States International Relations,549,0.430769231,28
Politics and Government,1118,"Police Brutality, Misconduct and Shootings",401,0.430769231,30
United States Politics and Government,3830,"Police Brutality, Misconduct and Shootings",401,0.430379747,30
Children and Childhood,483,Travel and Vacations,409,0.428571429,15
Vaccination and Immunization,667,Discrimination,612,0.428571429,19
Content Type: Personal Profile,673,Computers and the Internet,536,0.428571429,24
Deaths (Fatalities),550,United States International Relations,549,0.428571429,26
Real Estate and Housing (Residential),1128,Polls and Public Opinion,404,0.426229508,25
Books and Literature,778,Black Lives Matter Movement,453,0.425531915,20
Race and Ethnicity,688,Women and Girls,647,0.424242424,12
United States,1391,Books and Literature,778,0.424242424,15
Presidential Election of 2020,2304,United States International Relations,549,0.424242424,28
Vaccination and Immunization,667,Polls and Public Opinion,404,0.423076923,22
United States International Relations,549,"Demonstrations, Protests and Riots",442,0.422535211,29
United States,1391,Senate,577,0.421052632,9
Senate,577,Disease Rates,426,0.421052632,9
Politics and Government,1118,Women and Girls,647,0.421052632,15
Presidential Election of 2020,2304,George Floyd Protests (2020),544,0.421052632,23
Quarantine (Life and Culture),1509,Vaccination and Immunization,667,0.421052632,23
United States International Relations,549,Travel and Vacations,409,0.421052632,25
"Demonstrations, Protests and Riots",442,"Police Brutality, Misconduct and Shootings",401,0.421052632,29
Shutdowns (Institutional),701,United States International Relations,549,0.419354839,26
Vaccination and Immunization,667,"Demonstrations, Protests and Riots",442,0.419354839,26
Real Estate and Housing (Residential),1128,Shutdowns (Institutional),701,0.419354839,27
Content Type: Personal Profile,673,United States International Relations,549,0.417910448,25
Quarantines,1073,Disease Rates,426,0.416666667,10
Television,663,Discrimination,612,0.416666667,10
Labor and Jobs,566,"Demonstrations, Protests and Riots",442,0.416666667,24
Shutdowns (Institutional),701,Vaccination and Immunization,667,0.41509434,22
Deaths (Fatalities),550,"Demonstrations, Protests and Riots",442,0.41509434,25
New York City,1402,Democratic Party,1227,0.413793103,12
Democratic Party,1227,Disease Rates,426,0.413793103,12
"Trump, Donald J",3415,Labor and Jobs,566,0.413793103,13
Parenting,456,Travel and Vacations,409,0.413793103,14
Quarantine (Life and Culture),1509,"Demonstrations, Protests and Riots",442,0.412698413,25
United States Politics and Government,3830,Computers and the Internet,536,0.412698413,26
Republican Party,1147,Race and Ethnicity,688,0.411764706,14
Discrimination,612,Travel and Vacations,409,0.411764706,14
Democratic Party,1227,Race and Ethnicity,688,0.411764706,15
United States Economy,832,Disease Rates,426,0.411764706,16
Deaths (Fatalities),550,Travel and Vacations,409,0.41025641,15
Republican Party,1147,Politics and Government,1118,0.41025641,18
Democratic Party,1227,Politics and Government,1118,0.41025641,20
Shutdowns (Institutional),701,Deaths (Fatalities),550,0.409090909,17
Books and Literature,778,House of Representatives,424,0.409090909,18
Content Type: Personal Profile,673,House of Representatives,424,0.407407407,23
"Demonstrations, Protests and Riots",442,Travel and Vacations,409,0.407407407,27
Real Estate and Housing (Residential),1128,United States International Relations,549,0.405405405,28
United States International Relations,549,"Police Brutality, Misconduct and Shootings",401,0.405063291,30
Real Estate and Housing (Residential),1128,"Police Brutality, Misconduct and Shootings",401,0.405063291,34
Research,588,Theater,437,0.4,6
Senate,577,Parenting,456,0.4,7
Epidemics,489,Movies,440,0.4,7
United States,1391,Theater,437,0.4,9
Theater,437,Disease Rates,426,0.4,9
Quarantines,1073,Labor and Jobs,566,0.4,10
Quarantines,1073,Discrimination,612,0.4,11
Democratic Party,1227,Discrimination,612,0.4,12
Quarantines,1073,Deaths (Fatalities),550,0.4,14
Television,663,Travel and Vacations,409,0.4,14
Discrimination,612,Education (K-12),413,0.4,14
Democratic Party,1227,Deaths (Fatalities),550,0.4,15
Race and Ethnicity,688,Children and Childhood,483,0.4,16
Quarantines,1073,House of Representatives,424,0.4,17
Computers and the Internet,536,Polls and Public Opinion,404,0.4,20
Presidential Election of 2020,2304,United States Economy,832,0.4,22
Quarantine (Life and Culture),1509,Computers and the Internet,536,0.4,23
Real Estate and Housing (Residential),1128,Politics and Government,1118,0.4,25
Real Estate and Housing (Residential),1128,Race and Ethnicity,688,0.4,26
Real Estate and Housing (Residential),1128,Vaccination and Immunization,667,0.4,27
United States International Relations,549,Disease Rates,426,0.4,27
Vaccination and Immunization,667,"Police Brutality, Misconduct and Shootings",401,0.4,33
Real Estate and Housing (Residential),1128,"Demonstrations, Protests and Riots",442,0.394366197,29
Polls and Public Opinion,404,"Police Brutality, Misconduct and Shootings",401,0.393939394,32
Real Estate and Housing (Residential),1128,House of Representatives,424,0.393442623,29
Coronavirus Reopenings,745,"Demonstrations, Protests and Riots",442,0.392857143,23
Coronavirus (2019-nCoV),6554,George Floyd Protests (2020),544,0.392156863,23
Discrimination,612,United States International Relations,549,0.392156863,27
Books and Literature,778,Cooking and Cookbooks,492,0.390243902,14
Politics and Government,1118,Race and Ethnicity,688,0.390243902,16
Republican Party,1147,Travel and Vacations,409,0.388888889,15
Labor and Jobs,566,Children and Childhood,483,0.388888889,15
Education (K-12),413,Travel and Vacations,409,0.388888889,18
"Biden, Joseph R Jr",1772,Disease Rates,426,0.387096774,13
New York City,1402,Race and Ethnicity,688,0.387096774,13
Travel and Vacations,409,"Police Brutality, Misconduct and Shootings",401,0.387096774,32
Politics and Government,1118,"Demonstrations, Protests and Riots",442,0.385964912,26
George Floyd Protests (2020),544,House of Representatives,424,0.384615385,21
Politics and Government,1118,House of Representatives,424,0.382978723,22
"Demonstrations, Protests and Riots",442,Disease Rates,426,0.382978723,26
